@RELATION teste2

@ATTRIBUTE value1 NUMERIC
@ATTRIBUTE value2 NUMERIC
@ATTRIBUTE value3 NUMERIC
@ATTRIBUTE class  {1,2,3}

@data
-0.69440237,1.7937933,8.041213900000001,2
5.2258252,-2.8112807,-2.9667808,3
3.3413856,-7.085353,-3.0584451,3
2.0494905,-0.69372748,4.1894873,1
-2.550193,5.9110081,7.8522394,2
-1.7362842,2.3140412,1.1061254,2
4.5086678,5.0628733,-0.19092337,1
3.1983423,2.5785053,1.7215425,1
7.1830347,-2.3456347,-4.8134934,3
5.2796603,-4.930549,-0.96962234,3
-2.0507579,3.432557,2.0964158,2
1.7389258,0.39115111,5.5779376,1
4.7590468,-3.6722569,-2.6820729,3
3.8887131,-1.2857839,-4.1956317,1
1.5935436,3.1822932,3.0934133,1
3.6430311,2.0525907,-1.3267561,1
4.6368435,-6.7538879,-9.2360943,3
4.9908454,-4.8230628,-5.217611,3
4.2310844,3.8074597,-2.0586079,1
6.126171,-2.5819974,-4.0924377,3
5.4923156,-5.585371,-4.6189758,3
4.194932,3.4159344,-2.4920627,1
3.9767222,1.8241688,-5.8001579,1
-1.1924102,4.2240414,7.401818,2
-1.1260422,6.3070178,6.4575267,2
-1.797369,2.20156,5.8807902,2
5.7588379,-5.1178388,-3.4780625,3
4.019545,4.1745029,-2.8603054,1
1.4437396,3.324742,3.8320199,1
-2.285872,-0.98759157,12.054424,2
-2.0549245,3.3369653,1.1276537,2
4.8377047,-6.7539023,-3.2544572,3
-2.4287913,0.072483819,-1.0702484,2
3.0072469,4.8760441,3.3527499,1
2.8116291,1.9307055,-1.4156161,1
3.6071458,0.32154092,3.4389134,1
-1.7182594,2.0830392,-0.7085278,2
4.9688916,-5.3940515,-3.3190758,3
3.8129742,3.1730041,-0.29017507,1
6.013658,-6.9166569,-3.1162656,3
-2.3862207,3.5487399,2.723015,2
7.9352009,-4.3967794,-4.4383765,3
-3.1259898,-0.16917019,6.175184,2
3.2934302,3.14492,1.0145278,1
-1.8431823,2.8526523,9.2896909,2
-1.3932663,4.5898686,6.0702667,2
3.6205154,-8.556464200000001,-4.745922,3
-2.2649977,3.6658748,-2.1597611,2
-2.4475342,2.3331677,2.0464589,2
-2.0918057,3.9298992,6.8698767,2
2.3947204,3.3095132,1.4217383,1
1.1027533,1.0603194,1.6151952,1
4.5651206,-7.8364659,-3.8709774,3
2.462794,3.4332117,3.1956826,1
-1.2966322,5.4954201,6.0646733,2
3.4072257,1.3799392,2.6963442,1
6.1962889,-5.5060428,-4.2685715,3
-1.5524083,3.316296,5.2392582,2
2.5009482,3.3945352,1.7862065,1
3.4678904,5.9843121,-3.361591,1
5.7762142,-3.1000719,-1.85097,3
-3.2372254,-0.070393267,2.7708534,2
3.4801781,2.6892528,-0.14880257,1
-2.583668,2.4534563,4.4819471,2
5.1407399,-7.3723405,-5.3144511,3
-2.9906679,0.35164941,11.088195,2
4.0067759,5.0512625,2.5939482,1
3.0623329,1.6260131,0.77600125,1
-4.6256223,-0.40069691,4.6778826,2
5.2376157,-4.8052688,-2.8994577,3
3.0105482,1.9883666,-1.4830461,1
4.0213899,2.401803,-5.529667,1
-0.82168454,2.0965191,3.3040488,2
3.9297599,2.5858895,-2.7346569,1
5.3399633,-9.382815300000001,-3.1146437,3
5.2269994,-7.5837466,-10.230491,3
3.5569436,-2.4989419,-3.9954262,3
4.3510152,-7.5577428,0.95216459,3
-4.0693696,-0.024866881,10.334848,2
2.5805857,2.3271528,3.6936113,1
-2.1116032,0.88280508,5.3385381,2
3.4803141,3.0844596,-1.9938376,1
5.1133767,-6.0112608,-12.819672,3
-2.9750475,1.2631387,2.0769535,2
-1.4047693,3.2358288,4.7133059,2
4.1844835,-3.6923329,-0.5925610100000001,3
6.0248381,-3.0197359,-1.4667141,3
-2.449552,1.259119,4.486356,2
-1.8347522,0.91412129,4.1194936,2
-2.7905702,1.3688763,10.528979,2
-1.9382814,1.2657028,5.6839821,2
4.3803767,-11.442614,-6.9392963,3
-3.0805895,3.9663476,6.4073976,2
-0.59035706,2.1153877,3.3644335,2
3.6760818,-3.1871949,-0.5070400900000001,3
-2.997968,0.65214092,8.963698600000001,2
-1.4382841,2.4029075,-0.42554451,2
3.400357,3.0408853,0.48840755,1
4.7338012,-7.0732669,-6.2678538,3
5.8926431,-5.9268377,-6.2612593,3
5.8139028,-4.5916607,-8.895670600000001,3
-3.0035554,1.8399011,9.220529600000001,2
2.6522367,-10.17511,-0.8719505,3
6.24827,-7.0489517,-1.4436623,3
-1.4859979,1.3524688,0.52957295,2
3.4253176,3.2391538,1.8685495,1
-2.4271787,3.6885076,8.1018595,2
-2.7524438,2.4275918,9.8270965,2
5.1147206,2.8381931,-5.0016579,1
3.2970636,2.5057676,1.7567109,1
7.1389794,-4.420442,-2.924831,3
4.4435826,3.3008821,0.12569393,1
2.1118456,-0.75634678,2.1573061,1
2.6689553,2.1529172,-0.40209207,1
5.0572386,-6.9572586,-3.9421295,3
4.7245893,-5.352665,-2.3545915,3
1.6932477,4.5777669,-0.76777946,1
-0.46172551,4.7816043,4.3479855,2
5.1118852,-8.8345839,-0.54429518,3
3.6150669,2.6228185,1.6997332,1
-1.4898805,-0.9333611000000001,5.2154859,2
1.4278869,-0.10346816,0.76106536,1
3.7434612,3.2587654,-1.3691872,1
-1.3793038,1.8525172,4.7027353,2
-2.7341381,1.6825704,7.0493396,2
2.4754238,2.9544541,2.6423443,1
4.1908481,-8.9101588,-2.8547276,3
-1.5983683,2.8187127,5.5832381,2
-1.6220372,-1.1319759,2.4528668,2
4.4777705,-5.9669635,-1.9426018,3
-2.277559,0.88077344,4.5240937,2
4.3131779,-4.2275135,-4.8988826,3
3.3174722,3.5712637,-1.7310012,1
-1.8428998,2.0506817,4.2314105,2
1.2777004,3.0519476,5.2418078,1
1.4699329,-1.1009175,4.289589,1
2.0560834,2.3625294,5.3315465,1
3.4283426,1.1355789,-0.85686481,1
5.4565067,-9.297872,-6.640534,3
4.0163994,2.5586971,-1.6921731,1
-1.0000419,0.22640309,3.3743022,2
-1.0291696,5.028208,7.5224692,2
-2.666114,-0.71273209,0.96504113,2
-2.0888254,0.55917198,2.8464758,2
3.9616821,3.178052,4.0626014,1
-1.4716958,1.9290435,3.0810165,2
1.5234395,-0.88032707,-0.66506672,1
0.34145448,-0.83588705,0.90794067,1
-4.0078361,-0.24164889,8.335591600000001,2
4.5302537,-10.197373,-5.4900753,3
3.8621405,3.8609052,1.7436659,1
4.6831103,-5.5743413,3.5292641,3
2.1571127,1.6354949,0.84559549,1
-3.443889,-0.11300781,8.233896400000001,2
3.231786,4.828825,-0.5548451,1
5.1763605,-6.2581316,-6.1959021,3
1.8785621,1.5262923,0.20081706,1
2.9221609,3.4934233,12.442428,1
-2.1759103,0.8491573,7.3280553,2
4.593679,-8.6315214,-7.3980544,3
3.6726857,1.1103733,-5.7573259,1
1.7020893,-2.2394161,3.4830682,1
-1.6572128,4.2330317,-1.1505772,2
3.8969016,3.9229585,-2.9793176,1
-1.7554835,3.5171372,6.2523917,2
3.312458,-7.3277452,-3.8965183,3
-1.4100246,1.8780204,6.8921982,2
3.9968016,2.5325446,1.3715288,1
-2.6529121,1.5861342,2.0399586,2
-1.0164563,0.090191748,4.6123085,2
1.7163177,-0.027919924,0.30063607,1
6.0706638,-2.4185844,-2.3528142,3
3.4841169,0.33787966,2.3494312,1
3.5492641,3.9697404,1.5804634,1
4.1814031,5.0122985,0.59934026,1
2.94151,5.965861,-0.62572916,1
5.9582651,-5.2846917,-2.9252024,3
6.1342197,-5.8833283,-6.257947,3
-2.6792339,0.84016598,3.1963953,2
4.8654147,3.2783808,-6.2854075,1
-1.100653,4.1332412,5.2223756,2
2.8517662,1.5963751,-4.5044123,1
3.1259576,-10.549275,-0.60894768,3
-1.2107353,4.3615161,3.0367268,2
4.6877819,3.0820639,3.5412046,1
2.6126952,-1.7822349,-3.6871016,1
-2.3953818,0.79715898,8.631570200000001,2
4.4860346,2.4067244,-0.71869585,1
-2.4597545,4.3241201,8.6119688,2
-2.4812194,1.9589998,3.5214349,2
5.6156948,-5.7091126,-3.4939773,3
3.0587821,-0.60312554,3.1352789,1
-1.6467493,0.68283087,3.7053857,2
7.8580559,-2.5972659,-6.7768175,3
6.8185654,-3.8354986,-9.0256861,3
-0.66703808,5.5606399,3.8687735,2
4.1247531,-7.9589058,-3.5944713,3
6.3899313,-5.3101633,-5.368471,3
3.6246543,-8.918889099999999,-9.0185052,3
5.7860845,-1.5406333,-4.3572306,3
-2.4030066,0.58633761,2.6353342,2
4.220126,2.9941444,-7.1195325,1
-1.4989886,-0.084680906,4.36103,2
-1.8432779,1.1246646,0.18329073,2
6.374762,-2.8413383,-4.7313673,3
-2.8716592,-0.28465837,11.148097,2
3.3963456,1.9556312,0.69339618,1
4.9876261,-6.2365273,-11.17352,3
4.9805587,1.996667,-0.95782377,1
4.8456632,-5.0773872,-3.1902744,3
-2.0634486,3.8469844,5.0113381,2
3.8437224,2.582034,-2.0121887,1
3.9460887,3.650585,0.018236722,1
-1.6841904,2.2426337,5.6313698,2
3.8306135,4.214216,10.648035,1
1.6792281,1.9027319,0.56250309,1
-1.7614108,5.9324638,4.0653341,2
2.7474047,-5.4210572,-8.053710799999999,3
1.7708769,2.6513652,1.6875763,1
-1.9630188,2.8438284,10.414546,2
3.3638227,2.3602143,8.804983500000001,1
-2.6686795,1.6992721,5.4095757,2
5.1987056,-11.035382,-5.8238855,3
4.8902302,-2.8934489,-0.48473725,3
-1.7363044,-3.2164841,1.9741271,2
5.9945892,-4.8346644,-1.6600275,3
-1.939218,1.4227992,3.6029255,2
-1.9433894,0.43958486,7.412082,2
2.7950767,4.2319175,4.1570411,1
-0.91822121,3.3171861,1.0253917,2
-1.2798674,1.869653,5.4869778,2
4.6461455,2.8901955,-2.6038607,1
1.8087312,1.562511,3.36242,1
5.8368909,-6.8856029,-7.1378798,3
-1.4620168,1.4199642,6.8938698,2
4.3632192,2.1472119,1.6898547,1
-1.4315258,3.3907749,7.2272104,2
-1.0054513,2.7585914,5.7149673,2
-4.3897742,2.1732333,12.757575,2
-2.1046107,3.5828798,6.5132744,2
4.0442227,0.26196064,-0.066840502,1
4.0014796,-5.7905328,-4.7563519,3
4.2743855,-6.5865393,-10.785034,3
3.4510741,-0.57950187,-2.2190879,1
3.9835856,2.5202376,1.5294279,1
-2.8202245,2.7671077,4.7094482,2
1.9441547,0.72212337,0.87915575,1
6.465721,-3.6729408,-7.3753686,3
-1.3103979,4.2962144,2.8836193,2
-2.1760768,1.5266209,3.7527317,2
-2.4952474,1.101729,7.1338524,2
2.7094322,1.3864433,-4.6828239,1
5.25028,-7.4544769,-2.1875917,3
6.1275045,-8.065112900000001,-6.0767718,3
5.1828444,2.8504997,-0.035042263,1
6.6399667,-6.5915785,-5.9047321,3
-2.2086618,2.0058392,4.7778445,2
2.3188992,1.7163412,0.42901267,1
1.2488741,0.81076556,0.79028842,1
3.3210992,3.4197373,-0.58798587,1
1.5823842,2.4369431,9.540941999999999,1
2.8805092,-2.6680302,0.75536141,1
3.22572,-0.65368015,-1.1842956,1
2.7976437,2.6905723,0.03043532,1
2.3417949,2.1518964,3.5188196,1
5.0785969,-6.4265975,-8.926004799999999,3
-2.1093466,4.4717184,8.6425249,2
5.8260233,-6.040941,-3.8554426,3
-2.4792949,2.9830016,4.5683851,2
2.6957241,1.5485757,5.3195409,1
4.6166168,-6.2572613,-1.7967673,3
2.4376805,1.5826597,4.1271911,1
2.0083511,2.5418055,1.4873245,1
4.5918406,-4.6176037,-0.92654672,3
-0.7165193399999999,4.8137272,5.155238,2
5.6771197,-4.8599167,-6.3731056,3
-1.6476088,1.4953899,3.5978651,2
5.7720142,-4.4229176,-6.0668746,3
4.1825652,-7.6140486,-2.5241742,3
-1.9753768,2.6439054,5.5590395,2
-0.5177468200000001,0.7649966499999999,4.2163977,2
3.3318224,-4.9877508,-4.9409696,3
-0.045355497,3.5193922,0.45512421,2
2.8787655,1.0634429,3.2206915,1
5.2352708,-6.9334531,-1.0772726,3
-2.4087613,0.51296982,4.6731403,2
4.8813126,-5.9157253,-1.9047025,3
-1.0061798,3.3232131,5.1223601,2
5.9359368,-7.3174402,-10.683343,3
5.6433461,-3.1708375,-6.5043428,3
3.532346,2.7096799,-4.6080315,1
-1.7061521,3.2227337,2.9322572,2
-2.3445214,2.7965285,7.7592901,2
-2.5285916,1.08071,1.9413851,2
2.8604435,1.5235532,6.9953526,1
4.1351911,2.9722178,0.29557835,1
-2.6909429,0.39134498,2.9456879,2
-3.4824075,1.5918958,8.027517899999999,2
4.7835197,-8.167541399999999,-4.4673129,3
4.2691962,-4.9375414,-4.4459825,3
-3.9154594,-1.2004176,2.714338,2
4.1223022,-4.8810901,-2.0517284,3
6.3664699,-4.6408674,-4.5162816,3
4.3012923,-10.152926,-2.2166238,3
4.5267259,-3.1251544,-5.7964586,3
-2.8526016,2.8894719,7.9007986,2
4.350136,-12.551926,0.99847396,3
2.0302318,0.7886742799999999,-0.055127367,1
4.4930552,-7.0462763,-4.1005106,3
-1.5624527,3.7679062,2.9181824,2
-0.88956694,0.94866116,4.7608071,2
6.4326619,-4.0332504,-11.283302,3
4.4916353,-7.3199746,-2.2828884,3
-1.869037,1.5906791,7.2736269,2
-1.8597361,3.9849066,-0.47739403,2
4.3167228,6.0532971,-6.1185784,1
4.5849495,-3.6239043,0.27164874,3
3.4853885,-0.019566178,-0.30960731,1
2.5893203,0.11199597,3.1720518,1
